2024-01-15 08:00:01 INFO  Application starting up...
2024-01-15 08:00:02 INFO  Loading configuration from config.yaml
2024-01-15 08:00:03 INFO  Database connection pool initialized (size=10)
2024-01-15 08:00:05 WARNING  Config key 'cache_ttl' not found, using default value 300
2024-01-15 08:00:07 INFO  CameraService starting initialization
2024-01-15 08:00:08 ERROR  NullPointerException in CameraService.java at line 45: dependency 'CameraController' is null
2024-01-15 08:00:08 ERROR  Failed to initialize CameraController: bean not found in application context
2024-01-15 08:00:09 WARNING  Retrying CameraService initialization (attempt 1/3)
2024-01-15 08:00:11 WARNING  Retrying CameraService initialization (attempt 2/3)
2024-01-15 08:00:13 ERROR  CameraService initialization failed after 3 retries — aborting startup sequence
2024-01-15 08:00:14 INFO  Attempting fallback to default camera driver
2024-01-15 08:00:15 ERROR  DatabaseConnectionException: max connection pool size (10) exceeded — rejecting new requests
2024-01-15 08:00:16 WARNING  Response time degraded: /api/feed endpoint took 4823ms (threshold: 2000ms)
2024-01-15 08:00:17 ERROR  AuthService: JWT token validation failed — signature mismatch for user_id=8821
2024-01-15 08:00:18 INFO  Scheduled job 'cleanup_temp_files' started
2024-01-15 08:00:20 WARNING  Disk usage at 87% on /var/data — consider cleanup
2024-01-15 08:00:21 ERROR  FileNotFoundException: cannot read model weights from '/models/resnet50.pt' — file does not exist
2024-01-15 08:00:22 INFO  Graceful shutdown initiated
2024-01-15 08:00:23 INFO  Flushing pending write queue (42 items)
2024-01-15 08:00:24 WARNING  Shutdown timeout exceeded — forcing termination of 2 active threads
